East Rail Line  ,  Kowloon Tong, Mong Kok East ,  Hung Hom,,,,,,,,,,,,,,
Island Line  ,  Kennedy Town,HKU,Sai Ying Pun,  Sheung Wan,  Central,Admiralty,  Wan Chai,Causeway Bay,   Tin Hau,  Fortress Hill,North Point,Quarry Bay,Tai Koo,Sai Wan Ho,Shau Kei Wan,Heng Fa Chuen,Chai Wan
Kwun Tong Line  ,  Whampoa,  Ho Man Tin, Yau Ma Tei     , Mong Kok,  Prince Edward,   Shek Kip Mei     ,Kowloon Tong,Lok Fu,Wong Tai Sin,Diamond Hill,Choi Hung,Kowloon Bay,Ngau Tau Kok,Kwun Tong,Lam Tin,Yau Tong,Tiu Keng Leng
   South Island Line,South Horizons,Lei Tung,Wong Chuk Hang,Ocean Park,Admiralty,,,,,,,,,,,,
Tseung Kwan O Line   ,North Point,Quarry Bay,Yau Tong,Tiu Keng Leng,Tseung Kwan O,Hang Hau,   Po Lam,,,,,,,,,,
  Tseung Kwan O Line,North Point,Quarry Bay,Yau Tong,Tiu Keng Leng,Tseung Kwan O,LOHAS Park,,,,,,,,,,,
Tsuen Wan Line ,Tsuen Wan,Tai Wo Hau, Kwai Hing,Kwai Fong,Lai King,Mei Foo,Lai Chi Kok,Cheung Sha Wan,Sham Shui Po,Prince Edward,Mong Kok,Yau Ma Tei,Jordan,Tsim Sha Tsui, Admiralty   ,Central,
Tuen Ma Line Phase 1   ,Diamond Hill, Kai Tak,,,,,,,,,,,,,,,
  Tung Chung Line  , Tsing Yi,  Lai King,Nam Cheong,Olympic,Kowloon,Hong Kong,,,,,,,,,,,
West Rail Line,Tsuen Wan West,Mei Foo, Nam Cheong,Austin,East Tsim Sha Tsui,Hung Hom,,,,,,,,,,,
 Walkable Paid Connection,Hong Kong,  Central,,,,,,,,,,,,,,,
Walkable Unpaid Connection 1,Kowloon ,Austin,,,,,,,,,,,,,,,
   Walkable Unpaid Connection 2,Tsim Sha Tsui , East Tsim Sha Tsui,,,,,,,,,,,,,,,
